subject;predicate;object;0/1
http://dbpedia.org/resource/Arnall_Patz;http://dbpedia.org/ontology/academicDiscipline;http://dbpedia.org/resource/Medical_genetics;0
http://dbpedia.org/resource/Vincenzo_Di_Nicola;http://dbpedia.org/ontology/academicDiscipline;http://dbpedia.org/resource/Gravity;0
http://dbpedia.org/resource/Ralph_E._Comstock;http://dbpedia.org/ontology/academicDiscipline;http://dbpedia.org/resource/Neuroscience;0
http://dbpedia.org/resource/Vincenzo_Di_Nicola;http://dbpedia.org/ontology/academicDiscipline;http://dbpedia.org/resource/Physics;0
http://dbpedia.org/resource/Ray_Jayawardhana;http://dbpedia.org/ontology/academicDiscipline;http://dbpedia.org/resource/Mycology;0
http://dbpedia.org/resource/Matthias_Felleisen;http://dbpedia.org/ontology/academicDiscipline;http://dbpedia.org/resource/Clinical_psychology;0
http://dbpedia.org/resource/Leonard_Pearlin;http://dbpedia.org/ontology/academicDiscipline;http://dbpedia.org/resource/Environmental_chemistry;0
http://dbpedia.org/resource/Vincenzo_Di_Nicola;http://dbpedia.org/ontology/academicDiscipline;http://dbpedia.org/resource/Neuroscience;0
http://dbpedia.org/resource/John_Hughes_(neuroscientist);http://dbpedia.org/ontology/academicDiscipline;http://dbpedia.org/resource/Computational_chemistry;0
http://dbpedia.org/resource/Meike_Bartels;http://dbpedia.org/ontology/academicDiscipline;http://dbpedia.org/resource/Popular_science;0
http://dbpedia.org/resource/George_C._Clerk;http://dbpedia.org/ontology/academicDiscipline;http://dbpedia.org/resource/Molecular_mechanics;0
http://dbpedia.org/resource/Gordon_Moore;http://dbpedia.org/ontology/academicDiscipline;http://dbpedia.org/resource/Polymer_chemistry;0
http://dbpedia.org/resource/Scott_Fahlman;http://dbpedia.org/ontology/academicDiscipline;http://dbpedia.org/resource/Psychotherapy;0
http://dbpedia.org/resource/Kenneth_G._Wilson;http://dbpedia.org/ontology/academicDiscipline;http://dbpedia.org/resource/Mathematics;0
http://dbpedia.org/resource/David_Wheeler_(computer_scientist);http://dbpedia.org/ontology/academicDiscipline;http://dbpedia.org/resource/Philosophy_of_psychiatry;0
http://dbpedia.org/resource/Malcolm_Baker;http://dbpedia.org/ontology/academicDiscipline;http://dbpedia.org/resource/Chemical_biology;0
http://dbpedia.org/resource/Stephen_R._Bourne;http://dbpedia.org/ontology/academicDiscipline;http://dbpedia.org/resource/Family_therapy;0
http://dbpedia.org/resource/Catherine_J._Murphy;http://dbpedia.org/ontology/academicDiscipline;http://dbpedia.org/resource/Chemistry;0
http://dbpedia.org/resource/Walter_Hayman;http://dbpedia.org/ontology/academicDiscipline;http://dbpedia.org/resource/Child_and_adolescent_psychiatry;0
http://dbpedia.org/resource/Dan_Ingalls;http://dbpedia.org/ontology/academicDiscipline;http://dbpedia.org/resource/Complex_analysis;0
http://dbpedia.org/resource/Kip_Thorne;http://dbpedia.org/ontology/academicDiscipline;http://dbpedia.org/resource/Physics;0
http://dbpedia.org/resource/Yves_Meyer;http://dbpedia.org/ontology/academicDiscipline;http://dbpedia.org/resource/Sociology;0
http://dbpedia.org/resource/William_Michael_Lynn;http://dbpedia.org/ontology/academicDiscipline;http://dbpedia.org/resource/Mathematics;0
http://dbpedia.org/resource/James_Unnever;http://dbpedia.org/ontology/academicDiscipline;http://dbpedia.org/resource/Theoretical_physics;0
http://dbpedia.org/resource/Vincenzo_Di_Nicola;http://dbpedia.org/ontology/academicDiscipline;http://dbpedia.org/resource/Nanotechnology;0
http://dbpedia.org/resource/Vincenzo_Di_Nicola;http://dbpedia.org/ontology/academicDiscipline;http://dbpedia.org/resource/Computer_science;0
http://dbpedia.org/resource/Douglas_Easton;http://dbpedia.org/ontology/academicDiscipline;http://dbpedia.org/resource/Criminology;0
http://dbpedia.org/resource/Scott_Fahlman;http://dbpedia.org/ontology/academicDiscipline;http://dbpedia.org/resource/Psychology;0
http://dbpedia.org/resource/Gilbert_Gee;http://dbpedia.org/ontology/academicDiscipline;http://dbpedia.org/resource/Philosophy_of_science;0
http://dbpedia.org/resource/Paul_Milgrom;http://dbpedia.org/ontology/academicDiscipline;http://dbpedia.org/resource/Genetics;0
http://dbpedia.org/resource/Stephanie_Kwolek;http://dbpedia.org/ontology/academicDiscipline;http://dbpedia.org/resource/Computer_science;0
http://dbpedia.org/resource/Robin_Engel;http://dbpedia.org/ontology/academicDiscipline;http://dbpedia.org/resource/Physical_chemistry;0
http://dbpedia.org/resource/Vincenzo_Di_Nicola;http://dbpedia.org/ontology/academicDiscipline;http://dbpedia.org/resource/Clinical_psychology;0
http://dbpedia.org/resource/Meike_Bartels;http://dbpedia.org/ontology/academicDiscipline;http://dbpedia.org/resource/Natural_language_processing;0
http://dbpedia.org/resource/Frank_Wilczek;http://dbpedia.org/ontology/academicDiscipline;http://dbpedia.org/resource/Cross-cultural_psychiatry;0
http://dbpedia.org/resource/David_H._Frisch;http://dbpedia.org/ontology/academicDiscipline;http://dbpedia.org/resource/School_psychology;0
http://dbpedia.org/resource/Catherine_J._Murphy;http://dbpedia.org/ontology/academicDiscipline;http://dbpedia.org/resource/Computer_science;0
http://dbpedia.org/resource/Neal_Schmitt;http://dbpedia.org/ontology/academicDiscipline;http://dbpedia.org/resource/Economics;0
http://dbpedia.org/resource/Douglas_Easton;http://dbpedia.org/ontology/academicDiscipline;http://dbpedia.org/resource/Astrophysics;0
http://dbpedia.org/resource/Mona_Lynch;http://dbpedia.org/ontology/academicDiscipline;http://dbpedia.org/resource/Sociology;0
http://dbpedia.org/resource/Vincenzo_Di_Nicola;http://dbpedia.org/ontology/academicDiscipline;http://dbpedia.org/resource/Behavioural_genetics;0
http://dbpedia.org/resource/Kip_Thorne;http://dbpedia.org/ontology/academicDiscipline;http://dbpedia.org/resource/Social_psychology;0
http://dbpedia.org/resource/Catherine_J._Murphy;http://dbpedia.org/ontology/academicDiscipline;http://dbpedia.org/resource/Physics;0
http://dbpedia.org/resource/Jon_Kleinberg;http://dbpedia.org/ontology/academicDiscipline;http://dbpedia.org/resource/Public_health;0
http://dbpedia.org/resource/Ray_Jayawardhana;http://dbpedia.org/ontology/academicDiscipline;http://dbpedia.org/resource/Statistics;0
http://dbpedia.org/resource/George_C._Clerk;http://dbpedia.org/ontology/academicDiscipline;http://dbpedia.org/resource/Computer_science;0
http://dbpedia.org/resource/Margaret_Pericak-Vance;http://dbpedia.org/ontology/academicDiscipline;http://dbpedia.org/resource/Consumer_behaviour;0
http://dbpedia.org/resource/Allan_Horwitz;http://dbpedia.org/ontology/academicDiscipline;http://dbpedia.org/resource/Computer_science;0
http://dbpedia.org/resource/Nancy_Pedersen;http://dbpedia.org/ontology/academicDiscipline;http://dbpedia.org/resource/Psychology;0
http://dbpedia.org/resource/John_Hughes_(neuroscientist);http://dbpedia.org/ontology/academicDiscipline;http://dbpedia.org/resource/Sinology;0
